case_type,number_of_hearings,judge_workload,document_count,case_priority,filing_to_first_hearing_days,court_level,previous_adjournments,total_case_duration_days
civil,3,52,6,low,36,magistrate,2,319
criminal,4,49,5,medium,7,district,1,706
civil,3,49,11,medium,3,district,0,435
civil,4,26,2,medium,33,district,1,441
tax,3,32,8,low,0,district,1,361
tax,3,49,5,medium,37,magistrate,1,237
civil,4,52,5,medium,90,district,2,440
civil,6,39,5,low,5,district,1,527
civil,1,68,6,medium,15,magistrate,3,431
civil,4,41,2,low,2,district,0,294
criminal,5,60,5,medium,6,district,0,685
criminal,6,33,8,medium,45,district,0,519
civil,3,51,8,low,80,magistrate,1,334
tax,5,32,8,medium,43,magistrate,1,326
civil,2,50,5,medium,7,district,1,470
civil,3,41,2,medium,1,district,3,460
criminal,3,48,6,low,19,magistrate,0,333
family,3,49,4,low,4,magistrate,1,269
civil,7,40,4,medium,32,high_court,2,1061
criminal,4,44,1,high,40,magistrate,0,350
civil,4,54,2,low,103,magistrate,2,265
civil,4,41,9,low,78,magistrate,1,289
criminal,4,53,10,medium,32,magistrate,3,362
civil,4,68,9,low,18,magistrate,0,225
family,3,41,7,medium,1,district,0,421
labor,3,60,9,medium,13,district,0,414
criminal,3,73,7,low,12,district,2,677
criminal,2,37,9,low,54,magistrate,1,265
civil,3,52,6,medium,18,magistrate,0,69
civil,6,35,4,low,9,magistrate,1,310
civil,4,42,3,low,12,high_court,0,708
criminal,4,26,6,high,28,magistrate,0,283
civil,3,65,3,medium,23,magistrate,1,499
civil,7,50,4,low,5,magistrate,2,259
tax,7,49,6,medium,100,magistrate,1,348
family,7,64,6,low,67,district,0,486
criminal,3,50,8,low,24,district,2,633
family,6,69,5,medium,52,magistrate,0,261
civil,5,64,6,low,5,high_court,0,681
family,5,65,9,low,18,high_court,1,572
labor,2,46,5,high,38,magistrate,1,349
tax,3,46,1,low,27,magistrate,0,233
family,1,64,3,medium,1,district,3,580
family,3,53,8,medium,17,district,2,493
civil,3,82,6,low,19,magistrate,0,193
civil,4,27,2,low,7,magistrate,0,290
civil,6,53,5,high,4,magistrate,1,265
criminal,8,42,3,low,14,magistrate,1,360
criminal,3,57,4,medium,73,district,2,558
tax,2,24,3,low,12,district,3,492
criminal,4,57,9,low,16,magistrate,1,329
civil,1,69,3,medium,27,magistrate,0,326
labor,3,42,4,low,5,magistrate,1,250
civil,4,53,7,low,24,district,2,536
civil,3,31,5,medium,20,magistrate,3,244
criminal,3,89,8,medium,9,high_court,1,799
criminal,6,59,11,low,57,magistrate,2,302
tax,5,79,5,low,7,supreme,0,1453
labor,4,60,8,low,2,magistrate,1,309
civil,4,50,4,low,2,magistrate,0,272
civil,6,26,7,low,26,district,0,417
criminal,6,55,3,medium,1,district,0,478
civil,2,64,2,low,40,magistrate,0,113
civil,6,46,6,low,5,district,4,604
civil,4,56,5,low,43,magistrate,2,286
criminal,5,38,6,medium,10,magistrate,0,255
civil,4,27,1,low,20,magistrate,1,157
civil,5,60,3,medium,49,magistrate,0,337
civil,4,64,6,low,10,magistrate,0,99
civil,4,58,2,low,4,district,2,448
family,4,59,4,low,0,district,1,358
labor,4,47,4,low,17,magistrate,0,210
family,6,26,5,medium,71,high_court,4,931
criminal,5,72,1,low,13,high_court,0,883
criminal,4,47,3,low,15,high_court,1,792
family,7,39,4,high,3,district,0,567
civil,1,53,7,low,67,high_court,2,734
criminal,4,63,2,high,21,magistrate,2,346
criminal,5,41,1,medium,0,magistrate,1,167
labor,3,60,7,low,69,district,2,391
criminal,3,37,4,medium,10,district,1,561
criminal,7,53,6,high,58,district,3,788
civil,4,49,5,low,38,high_court,0,762
family,3,33,8,medium,1,district,0,279
civil,5,41,3,high,30,district,1,400
criminal,3,42,3,high,3,magistrate,2,211
civil,3,23,5,high,10,magistrate,2,312
civil,1,67,6,low,86,district,1,500
criminal,4,27,7,low,17,magistrate,2,366
civil,3,76,4,medium,40,magistrate,0,361
civil,3,75,9,medium,40,district,1,425
civil,5,54,7,high,1,district,0,572
criminal,1,50,3,medium,15,district,0,283
civil,2,58,5,low,21,district,0,270
civil,7,60,5,medium,33,district,2,540
criminal,3,34,2,medium,39,district,0,565
civil,1,39,4,low,14,magistrate,0,67
labor,5,66,6,medium,3,magistrate,0,361
criminal,4,9,2,low,24,district,1,518
civil,7,46,4,low,48,high_court,0,900
civil,5,40,6,low,13,magistrate,1,288
family,3,59,1,medium,44,district,0,287
family,6,66,8,medium,25,district,0,561
criminal,3,33,5,medium,14,district,2,476
criminal,5,58,7,low,36,magistrate,1,226
civil,1,45,3,medium,65,magistrate,4,387
criminal,2,61,4,low,0,magistrate,2,333
criminal,2,59,5,medium,26,district,2,654
family,4,46,8,low,33,district,1,447
civil,5,56,6,low,45,district,4,449
criminal,3,55,3,low,16,magistrate,3,313
civil,5,54,4,high,50,high_court,1,994
civil,2,47,2,low,108,district,2,328
family,3,44,3,medium,4,magistrate,1,182
civil,5,52,4,low,10,district,0,645
criminal,7,68,7,medium,13,high_court,1,1010
criminal,3,78,6,low,6,magistrate,0,380
civil,6,68,5,medium,7,magistrate,1,250
civil,1,54,5,low,76,magistrate,0,242
civil,4,40,7,low,6,magistrate,1,292
tax,3,50,3,low,8,magistrate,1,238
criminal,2,68,5,low,79,magistrate,0,214
civil,5,57,8,low,99,magistrate,2,357
labor,3,25,6,low,5,district,0,371
labor,4,68,6,low,32,magistrate,1,346
tax,5,42,5,low,10,district,1,437
civil,8,60,2,medium,48,magistrate,1,373
civil,3,72,3,low,25,magistrate,3,356
labor,3,51,5,medium,51,magistrate,0,236
civil,4,27,7,high,3,high_court,1,698
civil,3,52,4,medium,83,district,0,450
civil,6,43,4,low,6,magistrate,1,255
criminal,4,76,11,medium,52,magistrate,3,385
civil,5,60,2,low,114,supreme,1,1078
civil,6,74,5,low,23,magistrate,0,352
civil,4,37,2,low,7,magistrate,2,261
civil,4,51,2,low,46,magistrate,0,193
criminal,5,57,3,medium,49,magistrate,0,285
family,3,62,3,low,17,magistrate,1,190
civil,5,37,3,low,35,magistrate,1,159
tax,4,61,7,low,2,supreme,0,1355
labor,7,30,8,medium,0,district,0,661
tax,4,58,5,medium,27,district,2,567
civil,4,70,2,medium,56,magistrate,1,353
criminal,4,47,3,low,10,district,1,456
tax,4,52,5,low,35,high_court,2,903
tax,2,36,3,medium,11,district,1,472
civil,4,46,3,medium,13,magistrate,0,163
criminal,5,17,3,low,3,magistrate,2,407
tax,5,75,4,low,35,district,2,487
family,3,43,5,low,26,district,0,193
civil,3,59,4,low,28,high_court,2,647
civil,4,19,2,low,43,district,0,480
criminal,6,53,4,low,32,supreme,1,1338
criminal,3,73,7,low,27,district,1,375
civil,3,82,5,low,71,magistrate,0,341
civil,3,57,6,high,3,high_court,1,1068
family,1,56,6,high,2,district,0,177
civil,4,62,3,medium,52,district,0,462
family,8,29,3,medium,43,district,0,512
criminal,2,44,2,low,21,magistrate,1,223
civil,2,51,5,low,6,district,1,320
tax,3,48,3,high,34,high_court,0,1173
civil,2,33,2,low,5,magistrate,3,440
civil,2,57,5,low,45,supreme,0,1078
tax,4,41,6,medium,4,magistrate,1,418
criminal,4,41,6,low,24,district,0,357
family,1,68,8,low,16,district,1,285
civil,4,59,3,low,15,district,1,431
civil,9,41,4,low,28,magistrate,0,235
civil,3,68,2,medium,80,magistrate,0,223
tax,8,55,3,low,33,magistrate,2,381
criminal,5,60,7,low,11,magistrate,2,394
criminal,3,46,7,low,3,magistrate,0,302
family,6,54,5,low,48,high_court,0,703
labor,6,65,4,medium,19,district,1,602
family,4,37,8,medium,3,magistrate,1,455
labor,4,47,3,low,111,magistrate,0,316
civil,6,53,7,low,8,district,1,397
criminal,5,44,1,high,55,district,0,502
civil,2,48,4,medium,3,magistrate,1,302
civil,2,68,6,medium,18,supreme,2,1252
civil,4,35,1,low,51,magistrate,1,391
civil,3,53,6,low,91,magistrate,0,128
civil,3,54,3,medium,23,magistrate,1,182
tax,3,73,7,low,23,magistrate,1,295
civil,5,37,2,low,93,supreme,0,1205
civil,4,44,6,high,74,high_court,2,1040
civil,4,68,3,low,30,district,1,460
family,4,69,2,low,28,magistrate,1,143
civil,2,34,6,medium,24,district,0,399
civil,5,64,2,low,40,high_court,1,787
labor,5,60,10,low,15,district,1,519
civil,4,40,9,medium,8,magistrate,0,157
civil,1,61,9,medium,2,high_court,0,623
civil,6,58,4,medium,6,magistrate,0,305
civil,8,40,5,medium,105,district,3,655
criminal,5,28,3,medium,17,magistrate,1,334
tax,5,18,2,medium,19,magistrate,2,348
civil,3,39,4,low,1,district,0,316
civil,4,49,4,low,3,district,4,456
civil,5,57,5,low,57,district,1,437
civil,4,56,8,low,11,magistrate,3,328
civil,5,44,3,low,43,magistrate,1,104
civil,4,62,8,low,12,district,2,455
family,2,27,9,high,7,magistrate,1,185
criminal,4,46,3,low,64,magistrate,2,171
family,3,66,3,low,72,district,3,574
criminal,4,49,4,medium,24,magistrate,2,444
criminal,4,64,3,high,12,supreme,1,1753
tax,4,54,2,low,44,magistrate,1,272
criminal,1,55,8,high,21,magistrate,0,302
labor,3,39,3,low,17,district,0,269
civil,2,61,1,medium,88,magistrate,0,80
labor,2,44,7,high,57,magistrate,1,174
criminal,7,26,7,low,21,magistrate,0,201
criminal,6,65,4,low,60,magistrate,2,384
civil,6,64,1,low,13,magistrate,1,201
civil,5,67,3,low,40,magistrate,1,367
family,3,41,4,low,15,district,0,244
civil,6,32,7,medium,0,magistrate,0,186
criminal,5,63,7,low,19,magistrate,2,430
criminal,2,49,4,low,4,high_court,2,722
family,4,54,3,medium,2,magistrate,0,324
criminal,4,51,6,low,1,magistrate,0,343
civil,6,36,6,medium,38,district,2,615
family,4,41,4,low,18,high_court,1,672
criminal,3,17,5,medium,1,district,2,511
criminal,3,43,5,high,51,district,0,455
family,4,57,2,low,26,district,0,496
civil,5,61,5,low,33,high_court,2,918
civil,7,59,4,low,5,district,0,470
civil,4,50,4,medium,27,district,0,578
criminal,4,63,4,medium,71,magistrate,3,219
civil,3,70,3,low,5,high_court,1,687
criminal,5,49,10,medium,3,district,1,490
criminal,4,51,3,high,30,district,0,585
family,1,71,5,low,0,high_court,0,463
family,4,71,4,low,9,district,1,384
civil,4,44,2,high,20,district,1,518
family,3,47,10,low,4,magistrate,0,134
tax,3,51,6,low,0,district,1,315
civil,5,55,5,medium,33,magistrate,1,409
criminal,5,76,4,high,12,supreme,1,1796
criminal,2,53,4,high,37,magistrate,1,260
labor,4,31,6,low,132,magistrate,2,426
civil,3,48,1,medium,52,magistrate,0,267
family,2,27,10,high,52,district,0,533
family,4,51,2,high,1,magistrate,0,144
criminal,4,19,5,low,31,magistrate,2,518
labor,2,29,8,low,16,high_court,1,840
civil,3,41,5,medium,62,magistrate,2,337
criminal,4,70,10,low,12,magistrate,1,285
family,3,36,2,low,23,district,0,302
criminal,4,73,2,low,44,magistrate,1,276
family,2,54,5,low,2,magistrate,2,209
tax,6,44,1,high,48,district,1,722
civil,4,47,7,low,21,magistrate,2,208
criminal,2,63,3,low,13,magistrate,1,339
labor,2,52,5,low,11,district,0,345
civil,2,58,2,medium,30,district,2,519
civil,3,38,5,low,1,magistrate,0,347
criminal,4,29,4,low,29,magistrate,2,196
criminal,4,56,9,medium,38,magistrate,1,409
civil,1,66,6,high,55,district,1,306
civil,4,83,6,medium,37,magistrate,2,417
labor,3,48,5,medium,17,magistrate,1,303
criminal,5,80,6,medium,21,district,0,541
civil,4,54,4,low,10,magistrate,2,441
criminal,2,50,1,low,1,district,3,534
tax,2,26,5,medium,32,magistrate,2,319
civil,7,46,5,low,41,district,1,334
criminal,6,45,4,medium,15,magistrate,1,405
tax,5,43,8,medium,24,district,0,411
civil,3,64,6,low,71,magistrate,1,475
civil,5,38,10,low,26,magistrate,1,282
civil,6,38,4,low,45,magistrate,0,121
criminal,1,52,7,medium,38,supreme,0,1476
civil,3,65,3,low,8,district,2,395
civil,5,52,4,low,42,district,0,681
civil,5,32,6,low,63,magistrate,2,348
civil,5,36,2,medium,18,magistrate,1,445
family,2,53,6,low,23,high_court,0,606
tax,3,54,4,low,19,district,1,461
family,5,54,5,medium,47,magistrate,1,471
criminal,5,43,3,low,4,magistrate,1,370
civil,6,44,3,medium,30,magistrate,1,232
criminal,4,59,5,medium,32,magistrate,1,129
criminal,4,80,6,low,17,magistrate,0,304
family,3,37,5,high,12,magistrate,2,317
civil,3,66,6,low,10,magistrate,0,223
criminal,5,45,7,medium,30,magistrate,1,304
family,3,45,10,low,18,magistrate,1,30
civil,2,46,6,medium,1,magistrate,2,236
civil,8,42,4,low,75,high_court,0,849
civil,5,30,5,low,11,district,0,210
tax,2,50,5,low,29,magistrate,2,237
civil,4,44,5,low,69,high_court,1,591
tax,2,38,2,medium,9,magistrate,0,105
family,5,39,6,low,25,district,0,294
criminal,5,34,9,low,43,magistrate,0,269
tax,1,47,1,medium,13,district,3,728
civil,4,43,4,low,23,magistrate,3,410
civil,6,31,3,low,79,district,2,505
criminal,1,56,4,low,7,magistrate,1,200
civil,4,69,6,high,14,magistrate,1,239
criminal,5,80,7,low,20,high_court,2,956
criminal,3,50,4,low,5,magistrate,0,298
criminal,2,29,8,low,31,district,0,437
civil,4,66,4,low,95,district,0,273
civil,1,57,8,medium,25,high_court,0,712
criminal,4,35,5,medium,60,district,1,448
tax,3,52,5,high,66,magistrate,2,439
civil,7,48,6,low,143,district,0,601
criminal,5,52,6,medium,23,magistrate,3,454
civil,4,41,4,low,4,district,3,342
tax,2,59,5,low,1,district,0,423
criminal,7,22,3,medium,57,high_court,0,1019
tax,3,25,2,medium,2,magistrate,1,274
civil,4,65,5,low,29,magistrate,1,243
civil,4,49,4,medium,4,magistrate,0,150
tax,1,64,3,low,2,supreme,0,1353
criminal,5,44,3,low,7,high_court,2,927
civil,1,62,7,low,36,high_court,0,560
civil,3,55,7,high,33,district,0,556
criminal,2,13,3,high,24,district,0,627
civil,5,52,2,medium,34,magistrate,0,388
criminal,4,55,6,low,2,district,0,342
criminal,4,45,5,low,68,magistrate,0,227
civil,3,55,5,low,17,magistrate,3,219
criminal,3,60,6,medium,1,high_court,1,913
criminal,2,47,4,medium,16,supreme,2,1628
civil,4,59,4,high,16,magistrate,4,300
civil,4,51,7,low,3,magistrate,2,70
family,4,52,3,low,53,district,2,378
criminal,4,70,7,medium,1,magistrate,1,310
family,1,54,5,low,22,district,1,238
criminal,2,57,4,high,9,district,0,621
criminal,4,27,4,low,17,magistrate,2,422
tax,4,61,8,low,29,magistrate,0,306
criminal,3,57,4,low,2,district,3,444
criminal,2,69,6,medium,24,high_court,1,979
criminal,4,50,5,low,54,magistrate,1,371
criminal,6,29,1,low,43,district,1,652
civil,3,47,3,medium,70,magistrate,0,324
criminal,4,53,4,low,39,magistrate,1,234
civil,4,38,6,medium,2,magistrate,2,331
civil,2,50,4,low,48,high_court,1,890
civil,2,49,3,low,7,magistrate,2,311
tax,2,39,4,low,1,magistrate,1,236
criminal,5,30,6,low,16,magistrate,1,145
criminal,6,49,5,low,35,district,0,429
criminal,3,45,2,medium,11,supreme,0,1454
civil,2,84,4,low,23,high_court,0,849
family,3,33,7,medium,25,magistrate,0,189
family,1,43,4,low,8,district,0,425
civil,4,59,7,low,21,district,0,353
criminal,4,34,6,low,67,district,2,515
civil,3,85,2,low,67,supreme,1,1111
tax,5,36,6,medium,54,district,0,629
civil,2,36,5,high,25,magistrate,1,223
criminal,1,47,8,medium,48,magistrate,0,359
criminal,5,30,3,medium,12,supreme,1,1612
civil,3,47,7,medium,8,high_court,0,750
labor,1,18,7,medium,26,magistrate,1,233
civil,2,66,8,high,2,magistrate,1,384
family,3,56,7,low,9,district,0,453
civil,4,30,0,low,81,high_court,0,828
family,5,56,5,high,0,magistrate,1,285
civil,3,58,5,low,14,magistrate,0,131
criminal,5,64,3,low,0,magistrate,0,138
labor,2,16,5,medium,10,district,0,464
civil,5,37,2,low,14,district,1,393
civil,4,45,5,low,47,district,0,474
criminal,5,23,7,medium,15,high_court,0,862
labor,3,58,2,medium,13,district,1,415
civil,2,75,3,low,111,high_court,0,738
criminal,3,50,5,medium,31,magistrate,2,259
family,2,42,5,medium,15,magistrate,3,241
civil,4,47,11,medium,51,district,0,455
criminal,4,82,4,low,9,district,0,408
civil,3,65,5,low,15,district,1,148
civil,4,57,6,medium,2,supreme,3,1256
criminal,8,14,5,medium,25,district,0,586
criminal,3,44,3,low,26,magistrate,2,240
criminal,1,33,4,medium,24,high_court,0,1048
family,4,30,8,low,10,magistrate,0,345
civil,4,53,2,low,78,high_court,2,742
criminal,2,45,7,low,11,magistrate,1,279
family,1,61,5,low,93,high_court,2,714
criminal,3,49,4,low,46,district,0,422
civil,8,71,4,medium,15,magistrate,1,335
criminal,7,62,5,low,59,magistrate,1,359
civil,2,56,8,low,71,district,1,443
civil,6,16,7,low,90,supreme,0,1108
civil,3,68,2,medium,9,district,1,437
civil,5,73,5,low,2,district,0,538
civil,4,75,4,low,20,district,2,242
civil,5,47,4,medium,5,district,0,398
criminal,2,40,3,low,27,supreme,1,1315
criminal,5,75,4,medium,16,high_court,2,1001
tax,4,64,4,low,40,magistrate,1,287
labor,2,52,3,low,21,magistrate,0,140
civil,3,39,5,low,33,district,1,368
family,3,42,6,medium,12,magistrate,1,175
criminal,5,60,2,low,15,magistrate,1,327
criminal,7,46,7,low,2,supreme,0,1369
civil,5,37,4,low,26,high_court,0,620
criminal,4,53,4,low,35,magistrate,0,277
civil,2,51,3,medium,16,district,1,640
tax,3,45,4,low,49,district,2,492
civil,5,43,7,medium,30,district,3,465
tax,2,83,4,medium,52,magistrate,1,66
civil,3,40,6,low,14,high_court,1,681
tax,5,21,7,low,24,district,2,640
civil,3,48,8,low,35,magistrate,3,239
civil,3,31,8,low,25,magistrate,1,251
civil,2,46,2,medium,9,high_court,1,768
criminal,3,69,6,low,4,magistrate,1,179
criminal,1,70,5,low,90,high_court,0,656
civil,5,1,2,low,65,district,1,500
civil,6,19,5,medium,17,magistrate,1,274
criminal,3,47,5,low,50,magistrate,2,373
criminal,4,81,9,low,44,district,1,460
criminal,3,50,6,low,4,magistrate,0,286
civil,8,46,4,low,9,magistrate,0,305
family,2,21,5,high,50,high_court,0,698
tax,4,51,6,low,34,district,3,607
criminal,1,56,4,low,9,high_court,2,671
civil,3,48,2,low,20,district,0,447
criminal,6,40,2,low,44,magistrate,0,214
civil,3,79,4,low,10,magistrate,1,240
civil,4,59,7,low,23,district,4,504
tax,2,68,5,low,9,magistrate,1,267
criminal,3,69,6,low,12,district,2,575
family,5,79,9,low,62,magistrate,0,203
family,5,45,6,medium,6,magistrate,1,373
civil,5,60,9,medium,14,magistrate,0,102
criminal,2,32,4,low,6,district,0,516
criminal,3,52,8,low,55,magistrate,2,259
family,3,36,0,medium,5,magistrate,0,273
civil,2,32,4,low,14,high_court,1,608
criminal,1,48,10,medium,115,high_court,0,1086
civil,2,68,2,low,3,magistrate,1,257
civil,4,58,7,medium,10,magistrate,1,262
civil,4,53,5,low,66,magistrate,2,469
tax,5,31,4,low,1,magistrate,1,346
tax,5,78,5,low,29,high_court,2,988
civil,2,27,3,low,23,magistrate,0,99
tax,4,50,4,low,12,magistrate,1,433
family,2,67,7,high,59,district,2,567
criminal,2,39,4,low,35,magistrate,1,397
civil,2,44,4,medium,45,district,1,439
civil,2,51,7,low,10,district,0,220
civil,6,71,4,low,11,district,1,282
civil,5,66,7,medium,48,magistrate,0,242
civil,4,43,4,low,38,district,1,489
family,4,46,7,low,30,magistrate,0,199
tax,5,38,4,high,6,district,1,647
labor,7,39,6,medium,13,magistrate,2,471
family,2,43,2,low,21,district,2,391
tax,3,59,7,medium,94,district,1,759
civil,5,72,8,low,66,magistrate,4,380
family,2,44,5,medium,19,magistrate,1,318
civil,6,29,4,low,27,magistrate,0,234
civil,5,60,4,medium,38,district,0,481
family,3,49,5,low,0,magistrate,1,196
criminal,4,49,5,low,228,district,2,583
civil,1,40,6,medium,10,magistrate,0,167
civil,5,39,7,low,20,district,1,393
family,2,48,7,high,61,district,0,388
civil,1,46,7,low,14,magistrate,0,297
criminal,3,68,6,low,8,magistrate,0,297
civil,1,39,4,high,63,high_court,1,978
tax,3,54,3,medium,126,district,2,504
criminal,5,28,9,high,9,magistrate,1,405
labor,5,72,4,low,56,district,1,557
family,2,51,6,low,9,magistrate,1,233
civil,2,38,2,medium,38,magistrate,2,304
criminal,5,54,3,high,15,district,2,587
tax,4,28,8,low,12,magistrate,1,264
civil,3,78,9,low,29,magistrate,0,114
tax,5,51,3,low,46,magistrate,0,161
criminal,3,62,5,medium,100,magistrate,0,317
criminal,4,18,8,low,19,magistrate,0,275
labor,4,34,3,low,20,high_court,0,855
criminal,5,14,5,high,19,district,1,577
criminal,5,47,3,low,11,district,3,476
civil,6,57,6,medium,22,magistrate,0,298
family,3,40,6,medium,5,district,0,306
criminal,3,33,9,medium,17,magistrate,1,314
civil,6,67,8,low,21,district,3,473
tax,3,81,5,low,5,magistrate,0,303
civil,3,75,4,high,52,district,0,629
criminal,3,25,6,low,30,magistrate,1,368
civil,5,63,10,low,0,district,1,339
labor,4,67,7,low,20,magistrate,0,192
criminal,3,52,2,low,4,district,0,488
criminal,3,37,6,low,11,magistrate,1,373
criminal,7,71,3,medium,42,supreme,0,1515
criminal,3,36,8,low,17,magistrate,1,516
family,3,47,5,medium,56,magistrate,0,209
tax,6,49,4,medium,4,district,1,614
civil,5,29,6,medium,60,district,1,487
civil,5,43,8,low,40,magistrate,1,187
labor,5,49,8,medium,25,magistrate,2,427
criminal,3,47,2,low,36,magistrate,1,372
civil,2,56,5,medium,17,magistrate,1,271
family,3,52,6,high,3,district,1,482
criminal,3,36,1,medium,7,district,2,486
civil,4,56,5,low,5,district,0,438
criminal,6,78,4,medium,12,district,0,407
criminal,5,46,5,low,10,district,1,302
labor,5,36,4,low,15,magistrate,1,402
civil,5,36,9,low,16,magistrate,0,112
labor,3,51,3,low,101,district,2,617
tax,4,54,5,medium,9,district,1,660
family,4,36,4,low,29,district,0,367
tax,4,47,4,low,10,district,0,543
tax,3,33,2,low,21,district,2,570
criminal,4,53,3,medium,9,district,1,512
civil,5,31,5,low,29,district,0,366
civil,3,39,7,low,19,magistrate,1,305
civil,4,67,9,low,1,magistrate,3,380
family,6,69,3,high,30,high_court,1,1127
criminal,8,51,4,low,18,district,0,532
civil,1,73,11,low,14,magistrate,0,124
civil,5,59,5,low,2,magistrate,0,245
criminal,4,48,4,high,11,magistrate,2,366
tax,6,44,9,low,46,district,0,351
criminal,3,77,8,low,38,district,1,321
tax,4,31,8,medium,19,magistrate,2,380
criminal,4,68,6,low,19,magistrate,5,513
criminal,3,57,6,medium,28,magistrate,0,293
criminal,2,42,9,low,14,magistrate,2,371
family,4,39,8,medium,28,magistrate,1,254
criminal,5,48,5,medium,24,district,2,587
labor,1,62,4,medium,67,district,0,420
tax,2,51,2,low,27,district,1,419
civil,2,46,8,low,18,magistrate,1,251
criminal,3,44,7,low,88,district,1,523
civil,4,47,5,medium,15,magistrate,0,258
civil,5,53,1,low,27,district,0,391
civil,7,62,9,medium,18,magistrate,0,205
criminal,5,49,1,medium,28,district,0,531
family,4,65,6,low,16,magistrate,0,196
criminal,5,34,6,low,6,district,3,637
criminal,6,38,3,medium,5,district,0,272
civil,3,58,4,medium,0,magistrate,1,224
tax,2,36,8,low,12,magistrate,1,324
tax,5,48,9,low,12,magistrate,2,295
family,3,61,2,low,25,district,0,387
family,4,65,8,low,21,high_court,2,678
family,7,45,5,low,3,district,0,497
criminal,2,42,7,medium,32,magistrate,0,294
family,5,54,4,medium,89,district,1,502
civil,2,62,3,medium,11,magistrate,1,219
criminal,2,17,9,low,128,district,1,499
civil,2,46,4,medium,28,supreme,2,1295
tax,8,43,3,medium,22,magistrate,0,311
civil,5,36,6,low,78,high_court,0,865
civil,3,55,7,low,15,magistrate,1,150
civil,4,21,3,medium,7,magistrate,1,405
family,5,22,3,low,8,magistrate,2,230
civil,7,52,4,low,0,magistrate,0,175
civil,4,66,10,medium,0,supreme,0,1265
criminal,4,32,6,low,3,supreme,1,1350
civil,4,38,8,low,18,district,3,579
criminal,3,50,8,medium,63,district,1,525
criminal,5,44,1,medium,29,supreme,1,1582
criminal,8,41,5,low,20,magistrate,0,349
civil,4,75,4,high,27,magistrate,5,370
family,3,49,4,low,6,district,1,332
